citycode,adname,tag,timestamp,address,name,location,rating,lng,lat
710,枣阳市,其他,2022/12/30 15:01,人民路44号,嘉禾大酒店(人民路店),"112.774014,32.121614",4.2,112.774014,32.121614
718,利川市,自助早餐,2022/12/30 13:42,东城街道办事处新桥社区七组1号,利川麓岛国际酒店,"108.964736,30.296719",4.3,108.964736,30.296719
719,茅箭区,小吃街,2022/12/30 16:56,人民北路53号(五堰步行街正对面),美乐宾馆(五堰店),"110.784705,32.642840",2,110.784705,32.64284
719,茅箭区,小吃街,2022/12/31 0:27,东岳路7号(五堰立交桥侧),十堰神州行商务宾馆,"110.782067,32.640550",2.5,110.782067,32.64055
1728,天门市,小吃街,2022/12/31 0:13,竟陵镇东湖路6号,君佳东湖酒店,"113.170422,30.652746",3,113.170422,30.652746
27,武昌区,自助早餐,2022/12/30 9:02,武珞路576号(宝通寺地铁站A口步行280米),莫泰酒店(武汉武珞路中南宝通寺地铁站店),"114.337287,30.531333",2.9,114.337287,30.531333
27,洪山区,自助早餐,2022/12/31 0:16,珞狮南路320号(金地西岸故事旁)近理工大学,雅斯特酒店(武汉华中农业大学店),"114.338534,30.483529",2.9,114.338534,30.483529
728,仙桃市,自助早餐,2022/12/31 0:16,"仙桃大道48-12号(汪洲桥桥头,步行街斜对面)",城市便捷酒店(仙桃大道店),"113.451131,30.360494",2.9,113.451131,30.360494
710,樊城区,其他,2022/12/30 15:58,万达广场步行街万紫千红写字楼1层,盛景怡家酒店(襄阳万达广场店),"112.132976,32.064224",2.9,112.132976,32.064224
717,夷陵区,其他,2022/12/31 0:17,兴安社区百花二巷3号,7天优品酒店(宜昌夷陵店),"111.322750,30.767823",2.9,111.32275,30.767823
716,荆州区,宵夜,2022/12/31 0:18,景明观路4号,致馨栀子花开酒店(荆州草市百富店),"112.232545,30.349616",2.6,112.232545,30.349616
2728,潜江市,自助餐,2022/12/31 0:18,红梅路88号,章华花苑酒店,"112.891302,30.401625",2.3,112.891302,30.401625
1719,神农架林区,自助餐,2022/12/31 0:18,"松柏镇沿河路,神农大道159号",神农架一品楼宾馆,"110.673604,31.743237",2.9,110.673604,31.743237
27,武昌区,小吃街,2022/12/31 0:23,团结路12号(秦园路103号佳馨花园小区),速8酒店(武汉徐家棚地铁站店),"114.338032,30.585930",2.9,114.338032,30.58593
27,江岸区,自助早餐,2022/12/30 9:08,胜利街168号扶轮大厦1-3楼,城市便捷酒店(武汉汉口江滩店),"114.300827,30.590128",2.9,114.300827,30.590128
27,武昌区,自助早餐,2022/12/31 0:13,首义路街办事处火车站万金国际广场1号楼4楼,福缘百合连锁酒店(武汉武昌火车站店),"114.317320,30.532211",2.9,114.31732,30.532211
